session_id,candidate_name,event_type,timestamp
bfa2744e-aa02-44ce-b45d-c36d29ffb8d1,Jaime Warner,face_absent,2026-09-11 21:41:15
bfa2744e-aa02-44ce-b45d-c36d29ffb8d1,Jaime Warner,tab_switched,2026-09-11 21:41:45
bfa2744e-aa02-44ce-b45d-c36d29ffb8d1,Jaime Warner,face_absent,2026-09-11 21:42:15
bfa2744e-aa02-44ce-b45d-c36d29ffb8d1,Jaime Warner,tab_switched,2026-09-11 21:42:45
bfa2744e-aa02-44ce-b45d-c36d29ffb8d1,Jaime Warner,face_detected,2026-09-11 21:43:15
9aef3007-e2f5-48e2-9bc4-060ca7be698e,Darren Cochran,question_answered,2026-09-11 21:41:15
9aef3007-e2f5-48e2-9bc4-060ca7be698e,Darren Cochran,tab_switched,2026-09-11 21:41:45
9aef3007-e2f5-48e2-9bc4-060ca7be698e,Darren Cochran,focus_loss,2026-09-11 21:42:15
9aef3007-e2f5-48e2-9bc4-060ca7be698e,Darren Cochran,face_detected,2026-09-11 21:42:45
9aef3007-e2f5-48e2-9bc4-060ca7be698e,Darren Cochran,face_detected,2026-09-11 21:43:15
d300ddb7-c83b-49e1-9c22-5fe493d5eed7,Phillip Nelson,face_detected,2026-09-11 21:41:15
d300ddb7-c83b-49e1-9c22-5fe493d5eed7,Phillip Nelson,face_absent,2026-09-11 21:41:45
d300ddb7-c83b-49e1-9c22-5fe493d5eed7,Phillip Nelson,face_detected,2026-09-11 21:42:15
d300ddb7-c83b-49e1-9c22-5fe493d5eed7,Phillip Nelson,face_absent,2026-09-11 21:42:45
d300ddb7-c83b-49e1-9c22-5fe493d5eed7,Phillip Nelson,question_answered,2026-09-11 21:43:15
22562ab1-3322-409d-ab88-b9f6b4be5675,Gina Garza,question_answered,2026-09-11 21:41:15
22562ab1-3322-409d-ab88-b9f6b4be5675,Gina Garza,question_answered,2026-09-11 21:41:45
22562ab1-3322-409d-ab88-b9f6b4be5675,Gina Garza,question_answered,2026-09-11 21:42:15
22562ab1-3322-409d-ab88-b9f6b4be5675,Gina Garza,focus_loss,2026-09-11 21:42:45
22562ab1-3322-409d-ab88-b9f6b4be5675,Gina Garza,face_detected,2026-09-11 21:43:15
85bbe681-6c05-4c5a-9c85-0ccd87bc1758,Anna Mcdonald,face_absent,2026-09-11 21:41:15
85bbe681-6c05-4c5a-9c85-0ccd87bc1758,Anna Mcdonald,question_answered,2026-09-11 21:41:45
